????;?????;???;???????;????
Futsi Atlético Navalcarnero;18;Bea Parrón;???????;3000
Futsi Atlético Navalcarnero;15;Etayo;???????;3500
Futsi Atlético Navalcarnero;25;Mavi;??????? ?????;3000
Futsi Atlético Navalcarnero;7;Laura Cordoba;??????? ?????;5000
Futsi Atlético Navalcarnero;5;Ariane (Ari);??????? ?????;5000
Futsi Atlético Navalcarnero;9;Luchi;??????? ?????;3500
Futsi Atlético Navalcarnero;12;Eli;??????? ?????;3000
Futsi Atlético Navalcarnero;6;Albita;??????? ?????;4000
Futsi Atlético Navalcarnero;19;Marian;??????? ?????;5000
Futsi Atlético Navalcarnero;11;Maria Sans;??????? ?????;5000
Futsi Atlético Navalcarnero;14;Anita Lujan;??????? ?????;6000
Futsi Atlético Navalcarnero;13;Rocio;??????? ?????;3000
Futsi Atlético Navalcarnero;10;Riscos;??????? ?????;3000
Futsi Atlético Navalcarnero;8;Irene Cordoba;??????? ?????;6000
Futsi Atlético Navalcarnero;2;Ju Delgado;??????? ?????;4000
STV Roldán;15;Cristina;???????;3500
STV Roldán;34;Daniela;???????;2000
STV Roldán;1;Almudena;???????;2000
STV Roldán;23;Carmen;??????? ?????;3000
STV Roldán;10;Andrea;??????? ?????;3500
STV Roldán;24;Cecilia (Ceci);??????? ?????;3500
STV Roldán;9;Eva González;??????? ?????;3500
STV Roldán;21;Irene;??????? ?????;3500
STV Roldán;8;Mayte Mateo;??????? ?????;6000
STV Roldán;19;Eva Ardil;??????? ?????;3000
STV Roldán;28;Rocío;??????? ?????;3000
STV Roldán;22;María Valverde;??????? ?????;3500
STV Roldán;14;Alba Andrades;??????? ?????;3000
STV Roldán;16;Judit;??????? ?????;3000
STV Roldán;2;Julia;??????? ?????;3000
STV Roldán;3;Laura;??????? ?????;3000
STV Roldán;11;Alba Gandía;??????? ?????;3000
STV Roldán;20;Ángela Górriz;??????? ?????;3000
STV Roldán;17;Bárbara;??????? ?????;3500
Melilla CD Torreblanca;13;María Arcas;???????;2000
Melilla CD Torreblanca;29;María Valsera;???????;3500
Melilla CD Torreblanca;10;Amandinha;??????? ?????;5000
Melilla CD Torreblanca;8;Lydia;??????? ?????;4000
Melilla CD Torreblanca;14;Dasha;??????? ?????;2000
Melilla CD Torreblanca;99;Emilly;??????? ?????;6000
Melilla CD Torreblanca;16;Irene Samper;??????? ?????;5000
Melilla CD Torreblanca;17;Silvina;??????? ?????;4000
Melilla CD Torreblanca;22;Sofia;??????? ?????;2000
Melilla CD Torreblanca;9;Ana Luiza;??????? ?????;5000
Melilla CD Torreblanca;98;Bia Souza;??????? ?????;4000
Melilla CD Torreblanca;20;Nega;??????? ?????;4000
MRB Móstoles FSF;12;Pitu;Portera;3500
MRB Móstoles FSF;1;Silvia García;Portera;3000
MRB Móstoles FSF;4;Irene;Cierre;4000
MRB Móstoles FSF;8;Rivera;Cierre;3500
MRB Móstoles FSF;17;Montufo;Ala;3500
MRB Móstoles FSF;14;Piti;Ala;3500
MRB Móstoles FSF;5;Tampa;Ala;5000
MRB Móstoles FSF;6;Nere Moldes;Ala;3000
MRB Móstoles FSF;11;Claudia;Ala;4000
MRB Móstoles FSF;19;Miriam Serrano;Ala;3500
MRB Móstoles FSF;9;Benete;Pivot;4000
MRB Móstoles FSF;10;Clau Gómez;Pivot;4000
Rodiles FS;13;Zaira Obaya;Portera;3000
Rodiles FS;12;Irati Marín;Portera;2000
Rodiles FS;3;Casado;Cierre;3000
Rodiles FS;75;Jane;Cierre;5000
Rodiles FS;10;Yasmin;Cierre;4000
Rodiles FS;55;Dani;Cierre;4000
Rodiles FS;31;Gabi;Ala;3000
Rodiles FS;5;Villazón;Ala;3000
Rodiles FS;2;Ángela;Ala;3500
Rodiles FS;11;Quixadá;Ala;3000
Rodiles FS;7;Romi;Ala;3000
Rodiles FS;99;Laura;Ala;2000
Rodiles FS;6;Clara;Ala;2000
Rodiles FS;16;Sofi;Pivot;3500
Rodiles FS;24;Nicole;Pivot;4000
Rodiles FS;8;Angelia;Pivot;3000
Les Corts UBAE;1;Muni;Portera;3000
Les Corts UBAE;3;Area;Portera;2500
Les Corts UBAE;21;Claudia;Portera;2000
Les Corts UBAE;8;Rojo;Cierre;3000
Les Corts UBAE;6;Silvia;Cierre;3000
Les Corts UBAE;14;Escribano;Ala;3000
Les Corts UBAE;11;Julia Peña;Ala;3000
Les Corts UBAE;13;Oliva;Ala;3000
Les Corts UBAE;4;Torres;Ala;3000
Les Corts UBAE;17;Peke;Ala;3000
Les Corts UBAE;24;Ona;Ala;3000
